run_generated_at_utc,run_start_mode,run_concurrency,run_requests,endpoint_name,requests_total,success_count,error_count,error_rate_pct,latency_p50_ms,latency_p95_ms,latency_p99_ms,success_p95_ms,error_p95_ms,error_path_latency_spike_detected,dominant_error_category,retry_attempt_histogram,fallback_used_count
2026-03-18T22:20:21.336096+00:00,cold,5,200,score_transaction,200,200,0,0.0,554.1522999992594,668.7859399995431,709.8063429974717,668.7859399995431,,False,none,{},0
2026-03-18T22:31:13.578686+00:00,cold,5,1000,score_transaction,1000,781,219,21.9,681.1937999991642,2045.6830149994857,2052.2797600022386,926.8345999989833,2052.267530001336,True,artifact_missing,{},0
2026-03-18T22:20:44.727640+00:00,cold,10,200,score_transaction,200,200,0,0.0,1007.4788500005525,1279.5977850024428,1512.3885260021757,1279.5977850024428,,False,none,{},0
2026-03-18T22:21:10.570755+00:00,cold,20,200,score_transaction,200,200,0,0.0,2324.68499999959,2682.3734549985597,2774.7093340003994,2682.3734549985597,,False,none,{},0
2026-03-18T22:20:21.336096+00:00,cold,5,200,wallet_authorize_payment,200,200,0,0.0,563.589299999876,679.0987899987158,707.9277520009782,679.0987899987158,,False,none,{'1': 200},0
2026-03-18T22:31:13.578686+00:00,cold,5,1000,wallet_authorize_payment,1000,0,1000,100.0,2042.1126499986713,2055.6705449998844,2060.227954999318,,2055.6705449998844,False,artifact_missing,{},0
2026-03-18T22:20:44.727640+00:00,cold,10,200,wallet_authorize_payment,200,200,0,0.0,8.945049999965704,513.1527699995579,1684.0909970018038,513.1527699995579,,False,none,"{'2': 10, '0': 189, '1': 1}",198
2026-03-18T22:21:10.570755+00:00,cold,20,200,wallet_authorize_payment,200,200,0,0.0,17.190250000567175,1700.6561300016983,1707.7655009996306,1700.6561300016983,,False,none,"{'2': 20, '0': 180}",200
