strategy,precision,recall,f1,roc_auc,pr_auc,false_positive_rate
class_weighted_random_forest,0.9493670886075949,0.7653061224489796,0.847457627118644,0.9514541677672756,0.8622748060998633,7.034327518289252e-05
xgboost_scale_pos_weight(577.29),0.8617021276595744,0.826530612244898,0.84375,0.979648362580823,0.8838353485188296,0.00022861564434440066
smote_plus_logistic_regression,0.13414634146341464,0.8979591836734694,0.23342175066312998,0.9764816590676788,0.7342312200850297,0.009988745075970737
