feature,psi,status
context_scores.ip_risk_score,0.12618256,warn
context_adjustment,0.11717618,warn
context_scores.location_risk_score,0.10255699,warn
behavior_adjustment,0.09786633,ok
final_risk_score,0.08383039,ok
context_scores.device_risk_score,0.07947593,ok
base_model_score,0.02780024,ok
