trial,objective,precision,recall,f1,fpr,approve_threshold,block_threshold,cap,fpr_le_target,precision_ge_target,policy_pass
481,0.873097678768334,0.9137931034482759,0.8617886178861789,0.8870292887029289,0.00014068852966417648,0.3817809163292873,0.7971949893434394,0.23415273291003574,True,True,True
91,0.873097678768334,0.9137931034482759,0.8617886178861789,0.8870292887029289,0.00014068852966417648,0.338571396431607,0.8174006731813664,0.2156452575703322,True,True,True
381,0.873097678768334,0.9137931034482759,0.8617886178861789,0.8870292887029289,0.00014068852966417648,0.3011119355979731,0.8079994876806675,0.35222302460388544,True,True,True
386,0.873097678768334,0.9137931034482759,0.8617886178861789,0.8870292887029289,0.00014068852966417648,0.22784627671426663,0.7983873270272688,0.3939831299757056,True,True,True
389,0.873097678768334,0.9137931034482759,0.8617886178861789,0.8870292887029289,0.00014068852966417648,0.2869667063985136,0.7931373504957584,0.12923556453893711,True,True,True
392,0.873097678768334,0.9137931034482759,0.8617886178861789,0.8870292887029289,0.00014068852966417648,0.4432020133922644,0.7966797983508662,0.33757813366220335,True,True,True
414,0.873097678768334,0.9137931034482759,0.8617886178861789,0.8870292887029289,0.00014068852966417648,0.38987214924213187,0.8112297456616874,0.20233506502098075,True,True,True
398,0.873097678768334,0.9137931034482759,0.8617886178861789,0.8870292887029289,0.00014068852966417648,0.2537048411813739,0.8178259082551358,0.1955193452665634,True,True,True
92,0.873097678768334,0.9137931034482759,0.8617886178861789,0.8870292887029289,0.00014068852966417648,0.3247985563555559,0.8164793374332453,0.27594347450116286,True,True,True
19,0.873097678768334,0.9137931034482759,0.8617886178861789,0.8870292887029289,0.00014068852966417648,0.3230383038938573,0.8078251798547234,0.383750756448982,True,True,True
424,0.873097678768334,0.9137931034482759,0.8617886178861789,0.8870292887029289,0.00014068852966417648,0.36393136818328276,0.7933644796412387,0.41456549423712474,True,True,True
449,0.873097678768334,0.9137931034482759,0.8617886178861789,0.8870292887029289,0.00014068852966417648,0.20060982010131687,0.8159436902693195,0.3346798687624519,True,True,True
45,0.873097678768334,0.9137931034482759,0.8617886178861789,0.8870292887029289,0.00014068852966417648,0.3521852822245617,0.8007410871851126,0.22531372123788979,True,True,True
85,0.873097678768334,0.9137931034482759,0.8617886178861789,0.8870292887029289,0.00014068852966417648,0.4191695346879257,0.8094923167794111,0.26560350699858415,True,True,True
173,0.873097678768334,0.9137931034482759,0.8617886178861789,0.8870292887029289,0.00014068852966417648,0.20177133854248702,0.8063829461056111,0.2263717950266546,True,True,True
277,0.873097678768334,0.9137931034482759,0.8617886178861789,0.8870292887029289,0.00014068852966417648,0.23639567302555897,0.7951830066405434,0.183605153960946,True,True,True
263,0.873097678768334,0.9137931034482759,0.8617886178861789,0.8870292887029289,0.00014068852966417648,0.3094029726637627,0.7928761961599881,0.15553741035763424,True,True,True
261,0.873097678768334,0.9137931034482759,0.8617886178861789,0.8870292887029289,0.00014068852966417648,0.38832740389907927,0.8009563856738103,0.23368660105359046,True,True,True
187,0.873097678768334,0.9137931034482759,0.8617886178861789,0.8870292887029289,0.00014068852966417648,0.43367080696685256,0.7982489948952609,0.38459459949644387,True,True,True
14,0.873097678768334,0.9137931034482759,0.8617886178861789,0.8870292887029289,0.00014068852966417648,0.21663971423879455,0.8056064754152743,0.15474176635186124,True,True,True
251,0.873097678768334,0.9137931034482759,0.8617886178861789,0.8870292887029289,0.00014068852966417648,0.2882969574302402,0.8145489217301756,0.2754792145957785,True,True,True
183,0.873097678768334,0.9137931034482759,0.8617886178861789,0.8870292887029289,0.00014068852966417648,0.40113650157948677,0.803592988074846,0.19149302673623086,True,True,True
347,0.873097678768334,0.9137931034482759,0.8617886178861789,0.8870292887029289,0.00014068852966417648,0.27007260789921395,0.8056645432002993,0.33564884751693047,True,True,True
326,0.873097678768334,0.9137931034482759,0.8617886178861789,0.8870292887029289,0.00014068852966417648,0.293522678314684,0.8021454409092149,0.2757724154352757,True,True,True
138,0.873097678768334,0.9137931034482759,0.8617886178861789,0.8870292887029289,0.00014068852966417648,0.37667398032830646,0.8087054037091758,0.2947763295166297,True,True,True
317,0.873097678768334,0.9137931034482759,0.8617886178861789,0.8870292887029289,0.00014068852966417648,0.3221851248341093,0.8081403485676182,0.3531416071382271,True,True,True
101,0.873097678768334,0.9137931034482759,0.8617886178861789,0.8870292887029289,0.00014068852966417648,0.411424850161743,0.8031104331501898,0.23056546957669447,True,True,True
336,0.873097678768334,0.9137931034482759,0.8617886178861789,0.8870292887029289,0.00014068852966417648,0.38044743532643066,0.802866304189392,0.1606429933380535,True,True,True
32,0.8730584783208512,0.8842975206611571,0.8699186991869918,0.8770491803278688,0.00019696394152984707,0.23096744371605527,0.5676071929228595,0.23434264423330609,True,True,True
466,0.8730584783208512,0.8842975206611571,0.8699186991869918,0.8770491803278688,0.00019696394152984707,0.36307301115771895,0.6026072795643604,0.42823359335777944,True,True,True
444,0.8730584783208512,0.8842975206611571,0.8699186991869918,0.8770491803278688,0.00019696394152984707,0.26330391077582543,0.6389596602874589,0.43572696158988217,True,True,True
34,0.8730584783208512,0.8842975206611571,0.8699186991869918,0.8770491803278688,0.00019696394152984707,0.34758006272078723,0.7206842291315687,0.21865140486923884,True,True,True
467,0.8730584783208512,0.8842975206611571,0.8699186991869918,0.8770491803278688,0.00019696394152984707,0.3941657222312357,0.6310144895362256,0.23118302231811716,True,True,True
468,0.8730584783208512,0.8842975206611571,0.8699186991869918,0.8770491803278688,0.00019696394152984707,0.3446400939022043,0.6841794718191372,0.3009250677784997,True,True,True
469,0.8730584783208512,0.8842975206611571,0.8699186991869918,0.8770491803278688,0.00019696394152984707,0.3514449281134734,0.5813925123088609,0.33407380061487857,True,True,True
470,0.8730584783208512,0.8842975206611571,0.8699186991869918,0.8770491803278688,0.00019696394152984707,0.28388942434371484,0.6239867410193822,0.17764350663108805,True,True,True
473,0.8730584783208512,0.8842975206611571,0.8699186991869918,0.8770491803278688,0.00019696394152984707,0.32943675324048993,0.6263450174796809,0.3689496635079921,True,True,True
476,0.8730584783208512,0.8842975206611571,0.8699186991869918,0.8770491803278688,0.00019696394152984707,0.44423809359826943,0.7154757904591911,0.15563772783419014,True,True,True
477,0.8730584783208512,0.8842975206611571,0.8699186991869918,0.8770491803278688,0.00019696394152984707,0.2762882327146483,0.609119273870128,0.23899389056348738,True,True,True
478,0.8730584783208512,0.8842975206611571,0.8699186991869918,0.8770491803278688,0.00019696394152984707,0.3768699406088545,0.612592098914074,0.19782265489396753,True,True,True
480,0.8730584783208512,0.8842975206611571,0.8699186991869918,0.8770491803278688,0.00019696394152984707,0.2299889078279206,0.5816408288693281,0.34518593843145634,True,True,True
