feature,psi,status
context_adjustment,0.06920879,ok
context_scores.ip_risk_score,0.0686887,ok
context_scores.location_risk_score,0.05275044,ok
behavior_adjustment,0.04979166,ok
context_scores.device_risk_score,0.04374734,ok
final_risk_score,0.04064323,ok
base_model_score,0.00766803,ok
