trial,objective,precision,recall,f1,fpr,approve_threshold,block_threshold,cap,fpr_le_target,precision_ge_target,policy_pass
145,0.366079634405209,0.12416080239424088,0.5942702284165698,0.205406128730095,0.15200499757842056,0.33225984837222255,0.550425697388346,0.2524310906761248,False,False,False
278,0.365923961246023,0.12410530146791217,0.5940766550522648,0.20531861515303562,0.1520330738616822,0.2923475558799493,0.5504523482009669,0.3202039100351314,False,False,False
166,0.3652444621412807,0.12785871590716585,0.5843979868370113,0.2098130516366669,0.14454372530164455,0.3198056532222444,0.5613860135611344,0.2840032549518422,False,False,False
148,0.3650794395791386,0.12505639637422583,0.5902051877661634,0.20638305073273092,0.1497308186342292,0.2611567831897572,0.5548103038273571,0.14834244911439903,False,False,False
129,0.364823139186652,0.12845368749199298,0.5822686798296555,0.21047475772312213,0.14325221627160997,0.3159299319991482,0.5633277590468878,0.2065881960020961,False,False,False
105,0.36403126285635334,0.12743355341120705,0.5828493999225707,0.2091407932208099,0.1447121830012143,0.27535015918004646,0.5633599280300312,0.18153948726943508,False,False,False
32,0.3638430375102898,0.12934504999783558,0.578397212543554,0.2114126012664945,0.14117457131024994,0.23096744371605527,0.5676071929228595,0.23434264423330609,False,False,False
84,0.3637549718436059,0.12889329255158746,0.5791715060007743,0.2108601430635329,0.14193263095831374,0.2997988256644476,0.5651002287771567,0.3994014466677204,False,False,False
143,0.3636545651574843,0.13055506762691024,0.575493612078978,0.2128284057556017,0.13897058307421264,0.2929278149573835,0.5696347827377837,0.20925512619621806,False,False,False
98,0.3635722769034555,0.1305684913452245,0.5753000387146728,0.21283299914064738,0.138907411436874,0.2613915097023629,0.568297281588114,0.31912396597091086,False,False,False
109,0.363546182728273,0.1296127265614813,0.5772357723577236,0.21169204557555105,0.14055689307849428,0.30354438039816767,0.5682569197160823,0.21105486787346836,False,False,False
164,0.3632438707296205,0.12996941896024464,0.575880758807588,0.2120758483033932,0.13978479528879967,0.3413291367512359,0.5684793040281666,0.22188700120599164,False,False,False
185,0.3628133184820728,0.13257353934861932,0.5696864111498258,0.21509227114927829,0.13515922762144747,0.26954057097306705,0.5729338959341939,0.30860021444394115,False,False,False
104,0.36242433689005,0.13132841000088977,0.5714285714285714,0.21357256547532918,0.13705437674160695,0.23273032803662477,0.5722402414165482,0.2767093560369823,False,False,False
296,0.36235447872789517,0.13347003873319663,0.5669763840495547,0.21607465604367232,0.13347465062575017,0.3322940548094655,0.5762856430148395,0.3974567726503426,False,False,False
96,0.36225266226217545,0.13211190444115137,0.5694928377855207,0.21447056679424092,0.13565758164934125,0.21623669480248592,0.5736220453549978,0.21076024340798344,False,False,False
274,0.36225173600293276,0.1337570879824401,0.5662020905923345,0.21639417030406155,0.13296225845622556,0.247980677128836,0.5773193397669947,0.3331626984025722,False,False,False
289,0.3621569346517669,0.1309708608684082,0.5716221447928765,0.21311297946811966,0.1375316735570545,0.2599214252102804,0.572859303845933,0.28275907984637183,False,False,False
254,0.3617611417732324,0.1327774504916844,0.5671699574138599,0.21518011236367643,0.13432395819441423,0.35066016308144626,0.5744825074870606,0.3013791575287715,False,False,False
230,0.3615051787343302,0.134971890535706,0.5623306233062331,0.217692682378508,0.1306810604412188,0.32230726679749755,0.5823921848516525,0.14609282853142538,False,False,False
118,0.36139453661461696,0.1352573666542335,0.5615563298490128,0.2180055609829413,0.130182706413325,0.3419363997734382,0.5797301763531225,0.24195863009773005,False,False,False
282,0.3612948614780585,0.13455841510831326,0.5627177700348432,0.2171834142697049,0.13123556703563583,0.3513979108986935,0.5808592907279171,0.3957589754875971,False,False,False
266,0.3601974958259995,0.13777179141812584,0.5543941153697252,0.22069815828003392,0.12580982529532742,0.2655727901797037,0.5898003436574831,0.1996653218759946,False,False,False
211,0.36017339289330674,0.1387862283602412,0.5524583817266744,0.22184220753983677,0.12430774414083064,0.2437512405724596,0.5940157680806741,0.41192130087459256,False,False,False
271,0.35987791088904264,0.13815948546834952,0.5530391018195896,0.22108725091893983,0.12509388007215605,0.3719592649823745,0.5886218521366395,0.22747928721340283,False,False,False
287,0.35980503065488967,0.13870779410333756,0.5518776616337592,0.22169517884914464,0.1242586106451228,0.22458481671809744,0.5931416066733708,0.448929702137619,False,False,False
198,0.35977517940806863,0.13878067783404752,0.5516840882694541,0.22177262469846704,0.1241392864412609,0.3244242823685265,0.590083831447008,0.3342035277317562,False,False,False
62,0.35880339282913265,0.14102756516083845,0.5456833139759969,0.22413039157225204,0.1205174459005117,0.36916309562740945,0.5963108740849171,0.30615139522558354,False,False,False
165,0.3585165453839475,0.14082254759882065,0.5454897406116919,0.2238551058505779,0.12067888452926602,0.280956750615854,0.5952607653267403,0.29600833387985137,False,False,False
344,0.35832940444425354,0.1406187624750499,0.5454897406116919,0.2235975561374276,0.12088243758291277,0.25375542209942914,0.598308401195046,0.22826581273444851,False,False,False
13,0.358020704634888,0.14103657618784807,0.5441347270615563,0.2240108379487588,0.12016649235974142,0.20445919599424695,0.5969319186092661,0.37897193825322184,False,False,False
4,0.3576575343191421,0.14096385542168674,0.5435540069686411,0.22386988758670173,0.12011033979321817,0.23494924953191437,0.5992479316204686,0.30768459466445497,False,False,False
53,0.35726933574690184,0.14239069435232896,0.5402632597754549,0.22538054669519925,0.11799058040696572,0.3100125270583881,0.6040970178742827,0.2546917005162343,False,False,False
262,0.35639540162544164,0.1435228331780056,0.5365853658536586,0.22647058823529412,0.11610946942843707,0.27321170981367715,0.6027495919331533,0.1324958184922323,False,False,False
345,0.3562349090238896,0.14851323385252152,0.5278745644599303,0.23180890853451208,0.10974317219886431,0.36946807339113236,0.6140998891487861,0.22831947327277752,False,False,False
237,0.3562272577363166,0.1476800086425755,0.5292295780100658,0.23092191393217618,0.1107539183962827,0.3266527849399634,0.6139065295990687,0.3148218383707418,False,False,False
194,0.35598273066309755,0.14463264985054278,0.5338753387533876,0.2276047039405818,0.1144880640700784,0.3765610279208117,0.6094180988361859,0.2643869977345965,False,False,False
180,0.3558854622597856,0.1472822280881323,0.5292295780100658,0.23043533229381769,0.11110487193705297,0.38632029303864307,0.6153392388060335,0.20470304440691528,False,False,False
315,0.35585592843582403,0.14562798092209858,0.5319396051103368,0.22865701447828257,0.11316145968596678,0.38748054037518964,0.610769177484464,0.33661765080804207,False,False,False
140,0.3555568548043469,0.14505749551640468,0.532326751838947,0.22798872492124025,0.11376509977609164,0.2649355630216592,0.608145185661714,0.2896359046928254,False,False,False
